date,areaName,areaCode,newCasesBySpecimenDate,cumCasesBySpecimenDate,newCasesByPublishDate,cumDailyNsoDeathsByDeathDate,hospitalCases
2020-10-20,England,E92000001,21325,699988,17814,52866,6072
2020-10-19,England,E92000001,22103,678663,16365,52689,5644
2020-10-18,England,E92000001,11855,656560,14704,52534,5202
2020-10-17,England,E92000001,12351,644705,13299,52410,5029
2020-10-16,England,E92000001,14547,632354,12176,52242,4854
2020-10-15,England,E92000001,15235,617807,16139,52117,4569
2020-10-14,England,E92000001,16434,602572,16132,51993,4313
2020-10-13,England,E92000001,15435,586138,14310,51889,4105
2020-10-12,England,E92000001,16198,570703,11647,51795,3827
2020-10-11,England,E92000001,9653,554505,10383,51701,3604
2020-10-10,England,E92000001,10151,544852,12628,51595,3369
2020-10-09,England,E92000001,13010,534701,10772,51508,3238
2020-10-08,England,E92000001,15263,521691,14952,51426,3179
2020-10-07,England,E92000001,15185,506428,11528,51346,3066
2020-10-06,England,E92000001,14288,491243,12648,51258,2903
2020-10-05,England,E92000001,14036,476955,10685,51189,2705
2020-10-04,England,E92000001,9831,462919,21309,51135,2435
2020-10-03,England,E92000001,9699,453088,10806,51080,2290
2020-10-02,England,E92000001,11574,443389,4797,51024,2180
2020-10-01,England,E92000001,11304,431815,5589,50955,2069
2020-09-30,England,E92000001,10521,420511,5656,50899,2036
2020-09-29,England,E92000001,8716,409990,5651,50846,1954
2020-09-28,England,E92000001,8573,401274,3316,50804,1955
2020-09-27,England,E92000001,6025,392701,4800,50757,1793
2020-09-26,England,E92000001,5647,386676,4639,50708,1689
2020-09-25,England,E92000001,6029,381029,5723,50665,1686
2020-09-24,England,E92000001,6293,375000,5632,50630,1546
2020-09-23,England,E92000001,5884,368707,5083,50597,1439
2020-09-22,England,E92000001,5353,362823,4187,50545,1378
2020-09-21,England,E92000001,4695,357470,3754,50513,1299
2020-09-20,England,E92000001,4625,352775,3279,50487,1174
2020-09-19,England,E92000001,4174,348150,3638,50453,1081
2020-09-18,England,E92000001,4271,343976,3771,50431,1020
2020-09-17,England,E92000001,3941,339705,2788,50406,984
2020-09-16,England,E92000001,3742,335764,3396,50372,929
2020-09-15,England,E92000001,3040,332022,2649,50347,891
2020-09-14,England,E92000001,2892,328982,2259,50325,812
2020-09-13,England,E92000001,1708,326090,2837,50308,691
2020-09-12,England,E92000001,2205,324382,3008,50290,663
2020-09-11,England,E92000001,2858,322177,3143,50269,622
2020-09-10,England,E92000001,3099,319319,2578,50254,572
2020-09-09,England,E92000001,2849,316220,2286,50239,557
2020-09-08,England,E92000001,3001,313371,2094,50229,535
2020-09-07,England,E92000001,3460,310370,2528,50214,555
2020-09-06,England,E92000001,2056,306910,2576,50194,483
2020-09-05,England,E92000001,2189,304854,1477,50181,471
2020-09-04,England,E92000001,2590,302665,1669,50169,474
